go_id,external_gene_name,namespace_1003
GO:0032731,HMGB1,biological_process
GO:0032755,HMGB1,biological_process
GO:0032760,HMGB1,biological_process
GO:0034137,HMGB1,biological_process
GO:0034145,HMGB1,biological_process
GO:0035767,HMGB1,biological_process
GO:0045089,HMGB1,biological_process
GO:0045639,HMGB1,biological_process
GO:0045819,HMGB1,biological_process
GO:0045944,HMGB1,biological_process
GO:0051384,HMGB1,biological_process
GO:0070374,HMGB1,biological_process
GO:0071639,HMGB1,biological_process
GO:0090303,HMGB1,biological_process
GO:0098761,HMGB1,biological_process
GO:1901224,HMGB1,biological_process
GO:1903672,HMGB1,biological_process
GO:2000819,HMGB1,biological_process
GO:0005769,HMGB1,cellular_component
GO:0005793,HMGB1,cellular_component
GO:0043005,HMGB1,cellular_component
GO:0006357,HMGB1,biological_process
GO:0000122,HMGB1,biological_process
GO:0005654,HMGB1,cellular_component
GO:0032733,HMGB1,biological_process
GO:0043410,HMGB1,biological_process
GO:0043065,HMGB1,biological_process
GO:0043312,HMGB1,biological_process
GO:0006265,HMGB1,biological_process
GO:0003697,HMGB1,molecular_function
GO:0032689,HMGB1,biological_process
GO:0032735,HMGB1,biological_process
GO:2001200,HMGB1,biological_process
GO:0001530,HMGB1,molecular_function
GO:0002224,HMGB1,biological_process
GO:0008134,HMGB1,molecular_function
GO:0034774,HMGB1,cellular_component
GO:1904813,HMGB1,cellular_component
GO:0000976,HMGB1,molecular_function
GO:0006309,HMGB1,biological_process
GO:0006303,HMGB1,biological_process
GO:0007204,HMGB1,biological_process
GO:0043280,HMGB1,biological_process
GO:0001786,HMGB1,molecular_function
GO:0043277,HMGB1,biological_process
GO:0070182,HMGB1,molecular_function
GO:0031175,HMGB1,biological_process
GO:0006342,HMGB1,biological_process
GO:0002218,HMGB1,biological_process
GO:0046330,HMGB1,biological_process
GO:0050918,HMGB1,biological_process
GO:0017053,HMGB1,cellular_component
GO:0042056,HMGB1,molecular_function
GO:0090026,HMGB1,biological_process
GO:0000793,HMGB1,cellular_component
GO:0043388,HMGB1,biological_process
GO:0042104,HMGB1,biological_process
GO:0002407,HMGB1,biological_process
GO:0032757,HMGB1,biological_process
GO:0070491,HMGB1,molecular_function
GO:0002437,HMGB1,biological_process
GO:0032732,HMGB1,biological_process
GO:0005178,HMGB1,molecular_function
GO:0050786,HMGB1,molecular_function
GO:0035868,HMGB1,cellular_component
GO:0019958,HMGB1,molecular_function
GO:0017055,HMGB1,biological_process
GO:0032072,HMGB1,biological_process
GO:0032425,HMGB1,biological_process
GO:0033151,HMGB1,biological_process
GO:0034165,HMGB1,biological_process
GO:0035711,HMGB1,biological_process
GO:0043371,HMGB1,biological_process
GO:0043537,HMGB1,biological_process
GO:0045063,HMGB1,biological_process
GO:0051106,HMGB1,biological_process
GO:0097350,HMGB1,biological_process
GO:2000343,HMGB1,biological_process
GO:2000426,HMGB1,biological_process
,HMGB1,
GO:0003677,RFC3,molecular_function
GO:0006260,RFC3,biological_process
GO:0005634,RFC3,cellular_component
GO:0005515,RFC3,molecular_function
GO:0032508,RFC3,biological_process
GO:0016887,RFC3,molecular_function
GO:0005654,RFC3,cellular_component
GO:0017116,RFC3,molecular_function
GO:1901796,RFC3,biological_process
GO:0019985,RFC3,biological_process
GO:0006283,RFC3,biological_process
GO:0006287,RFC3,biological_process
GO:0006281,RFC3,biological_process
GO:0042276,RFC3,biological_process
GO:0006261,RFC3,biological_process
GO:0042769,RFC3,biological_process
GO:0046683,RFC3,biological_process
GO:0006296,RFC3,biological_process
GO:0033683,RFC3,biological_process
GO:0000731,RFC3,biological_process
GO:0032201,RFC3,biological_process
GO:0003689,RFC3,molecular_function
GO:1900264,RFC3,biological_process
GO:0031390,RFC3,cellular_component
GO:0006297,RFC3,biological_process
GO:0070987,RFC3,biological_process
GO:0006271,RFC3,biological_process
GO:0005663,RFC3,cellular_component
GO:0005515,ASCC2,molecular_function
GO:0043130,ASCC2,molecular_function
GO:0005634,ASCC2,cellular_component
GO:0016607,ASCC2,cellular_component
GO:0006281,ASCC2,biological_process
GO:0006974,ASCC2,biological_process
GO:0006355,ASCC2,biological_process
GO:0005654,ASCC2,cellular_component
GO:0006307,ASCC2,biological_process
GO:0099053,ASCC2,cellular_component
,ASCC2,
GO:0003676,TOP3A,molecular_function
GO:0008270,TOP3A,molecular_function
GO:0003677,TOP3A,molecular_function
GO:0003917,TOP3A,molecular_function
GO:0006265,TOP3A,biological_process
GO:0005694,TOP3A,cellular_component
GO:0003916,TOP3A,molecular_function
GO:0046872,TOP3A,molecular_function
GO:0016853,TOP3A,molecular_function
GO:0005739,TOP3A,cellular_component
GO:0005759,TOP3A,cellular_component
GO:0005515,TOP3A,molecular_function
GO:0016605,TOP3A,cellular_component
GO:0005634,TOP3A,cellular_component
